provnum,overall_rating,survey_rating,quality_rating,staffing_rating,RN_staffing_rating
15009,5,5,3,5,5
15010,3,2,4,4,5
15012,4,4,3,3,2
15014,3,2,2,4,3
15015,3,2,2,4,3
15016,3,2,4,4,3
15019,4,3,3,4,4
15023,3,2,3,4,4
15024,5,3,5,4,3
15027,4,2,5,4,4
15028,4,4,2,3,5
15031,2,1,2,4,4
15032,1,1,2,3,4
15034,3,2,2,4,4
15035,4,4,3,4,3
15037,1,1,4,2,3
15040,3,3,3,,
15042,5,4,5,4,3
15043,3,2,5,3,3
15044,4,3,4,4,4
15045,2,1,5,4,3
15047,2,2,3,3,2
15048,2,2,1,4,4
15049,3,3,1,4,4
15050,4,3,5,3,3
15053,2,1,2,5,5
15060,1,1,4,3,3
15063,3,3,2,3,5
15065,2,1,4,4,3
15066,5,5,4,5,5
15067,3,3,2,3,4
15071,4,5,1,3,1
15073,5,5,5,4,4
15075,1,1,2,2,2
15076,2,1,5,4,3
15083,2,1,5,3,3
15084,5,3,5,4,4
15089,5,5,5,4,4
15091,3,2,5,3,3
15097,4,2,5,5,5
15098,4,4,3,4,5
15100,4,3,4,4,3
15101,5,4,5,4,4
15103,1,1,4,3,3
15104,3,2,5,3,3
15109,1,1,1,4,4
15111,3,2,3,4,4
15112,5,4,5,4,4
15113,1,1,4,3,4
15114,4,3,2,5,5
15115,2,2,2,3,2
15116,2,1,4,4,4
15117,2,1,5,3,3
15119,1,1,4,3,3
15120,4,3,3,4,4
15121,1,1,4,3,4
15123,4,4,4,4,3
15124,5,5,4,4,4
15126,4,3,4,5,5
15127,4,3,5,3,4
15128,4,3,3,4,4
15129,5,4,5,3,3
15132,2,2,2,3,4
15133,3,3,3,3,4
15134,1,1,3,1,2
15135,5,5,4,4,3
15136,5,3,5,5,5
15137,5,5,5,5,5
15138,4,3,5,2,2
15139,5,3,5,4,4
15141,5,4,4,5,5
15142,5,5,4,3,4
15143,4,3,2,4,4
15144,2,1,2,5,5
15145,4,4,2,2,3
15147,2,1,5,3,3
15148,4,4,3,3,3
15149,4,4,3,4,3
15150,4,2,5,4,3
15151,3,2,2,4,4
15152,5,5,5,4,4
15153,2,2,1,4,4
15154,2,3,1,3,3
15155,4,4,2,4,4
15156,4,4,4,4,4
15157,4,3,4,4,3
15158,3,2,3,4,4
15159,3,2,5,2,3
15160,5,4,5,4,4
15162,4,2,5,4,3
15163,4,3,4,5,5
15164,4,4,3,2,3
15166,2,1,2,4,3
15167,4,4,3,4,3
15168,5,5,4,4,3
15169,3,2,5,3,3
15171,3,2,5,3,2
15174,3,2,2,4,3
15175,3,2,2,4,3
15176,2,2,4,3,3
15177,5,5,5,3,3
15178,2,1,5,3,2
15179,1,1,1,5,5
15180,4,3,4,4,4
15182,5,4,5,5,5
15183,1,2,3,1,2
15184,5,4,5,3,1
15186,4,3,4,4,3
15187,5,5,3,4,3
15188,5,5,5,4,3
15189,1,1,1,3,4
15191,2,2,4,3,2
15192,3,2,4,5,5
15193,4,4,3,3,2
15194,5,5,5,3,2
15195,4,2,5,4,4
15196,2,2,4,3,4
15197,4,2,5,4,3
15199,2,2,4,3,2
15200,2,1,2,4,4
15201,4,2,5,5,5
15202,5,4,5,4,4
15203,2,1,4,5,5
15204,4,4,4,4,4
15206,5,4,5,3,3
15207,4,4,1,5,5
15208,5,4,5,5,5
15209,2,2,3,3,3
15210,5,4,5,4,4
15211,2,1,5,4,4
15212,4,3,2,4,4
15213,4,3,4,4,3
15214,2,1,3,4,4
15215,1,1,1,3,2
15216,4,2,5,4,3
15217,4,3,5,2,2
15220,5,5,4,3,2
15221,3,2,4,4,4
15222,2,2,3,2,4
15223,5,5,5,3,3
15225,5,5,3,4,4
15227,4,4,2,4,4
15228,2,1,5,4,4
15303,1,1,4,3,3
15315,5,4,2,5,5
15320,4,3,3,4,3
15321,2,2,5,1,1
15322,5,5,5,4,4
15326,2,2,3,2,4
15330,4,3,2,4,3
15331,3,4,1,3,1
15336,4,3,5,3,3
15361,4,3,5,3,3
15369,3,2,4,4,4
15371,3,2,2,4,4
15372,4,4,3,4,4
15373,2,1,4,4,4
15374,2,2,4,3,2
15375,2,1,5,3,2
15376,4,4,3,3,3
15378,5,4,5,4,4
15379,1,1,2,3,3
15381,4,4,3,4,4
15382,2,1,4,4,3
15383,2,1,4,4,4
15386,4,4,3,3,2
15388,3,2,5,3,3
15390,5,4,5,2,3
15391,3,2,5,3,2
15392,3,4,1,3,5
15393,4,4,3,3,3
15396,5,4,5,3,3
15397,3,2,5,3,3
15398,3,2,2,4,4
15400,4,3,2,4,3
15402,5,4,5,3,2
15403,3,2,4,4,4
15404,3,3,1,4,5
15406,1,1,1,3,1
15407,3,2,4,4,4
15408,3,2,3,4,3
15410,5,5,2,5,5
15411,5,4,4,5,5
15413,4,4,4,4,3
15414,4,3,5,2,2
15415,2,2,1,4,3
15416,5,5,5,4,4
15417,4,4,3,4,4
15419,5,4,5,3,4
15420,3,2,4,4,4
15422,5,5,5,3,3
15423,1,1,1,4,4
15424,4,3,4,4,3
15425,5,3,5,4,3
15426,5,3,5,5,5
15429,1,3,1,1,1
15431,4,4,5,1,1
15433,3,2,3,4,3
15434,4,3,5,3,3
15435,2,1,2,4,4
15436,3,2,4,4,3
15437,4,5,1,4,3
15440,3,2,5,3,3
15442,4,3,3,4,4
15443,3,2,2,5,5
15445,3,2,2,4,4
15446,5,4,5,4,5
15447,1,3,1,1,2
15448,3,4,1,4,4
15450,4,4,3,4,4
15451,4,4,4,3,5
15452,4,3,5,3,2
15453,5,4,5,4,3
15454,2,1,3,4,4
15455,3,2,3,4,4
15456,5,5,4,4,4
15457,5,3,5,4,3
15458,2,1,2,4,4
15459,5,5,4,4,4
15460,1,1,3,3,3
15461,4,3,3,4,3
15463,1,1,1,4,4
15464,5,3,5,5,5
15465,,,,,
15467,,,,,
15468,,,,,
15642,1,1,1,5,5
01A193,2,1,5,3,1
01A208,4,4,5,1,1
25010,5,4,2,5,5
25015,4,3,4,5,5
25018,3,3,3,,
25019,4,3,3,5,5
25020,5,5,5,5,5
25021,5,5,5,5,5
25024,3,4,1,,
25025,2,1,5,5,5
25026,3,3,1,5,5
25027,5,4,4,5,5
25028,2,2,1,5,5
25030,3,2,5,,
25031,4,3,4,5,5
25032,1,1,3,,
25034,5,5,3,5,5
25035,3,3,1,5,5
